DateTime,Precip_mm,NO3mgNL,DOCmgCL
3/9/2005 16:30,32.4,0.239,0.884
3/14/2005 8:45,31.7,0.18,0.264
3/25/2005 8:15,5.2,0.255,0.466
3/30/2005 9:00,65.1,0.051,0.116
4/5/2005 8:00,46.8,0.116,0.491
4/8/2005 8:15,3.3,0.831,1.195
4/21/2005 18:30,18.3,0.509,1.627
4/26/2005 8:00,28.2,0.33,0.482
4/28/2005 8:00,29.1,0.1,0.202
4/29/2005 8:00,1.5,0.621,0.879
5/2/2005 8:00,22.8,0.237,0.628
5/3/2005 8:00,4.3,1.018,1.158
5/9/2005 8:00,21.1,0.032,0.522
5/16/2005 8:15,4.5,0.626,1.797
5/19/2005 8:00,1.5,0.754,3.934
5/23/2005 17:00,34.9,0.048,0.318
5/24/2005 8:45,27.5,0.126,0.337
5/25/2005 8:15,24.3,0.067,0.409
5/26/2005 8:15,31.2,0.092,0.37
5/31/2005 9:45,19.3,0.109,0.623
6/9/2005 8:00,12.6,0.508,3.58
6/13/2005 8:00,54.8,0.333,1.981
6/15/2005 10:00,5.6,0.263,3.194
6/20/2005 8:00,9.1,0.515,2.25
6/23/2005 8:00,7.3,0.212,2.205
6/29/2005 9:00,25.7,0.191,0.712
6/30/2005 8:00,23.5,0.305,1.32
7/1/2005 9:00,4.1,0.252,0.699
7/5/2005 12:00,3.9,0.831,2.982
7/6/2005 8:30,0.2,1.145,
7/7/2005 8:30,2.1,0.446,4.35
7/11/2005 8:00,33.9,0.053,0.653
7/15/2005 8:00,12.6,0.203,1.628
7/19/2005 10:30,3.3,0.428,2.251
7/25/2005 8:30,1.4,0.32,1.874
7/28/2005 8:00,13.2,0.417,3.203
8/2/2005 8:00,6.9,0.63,1.835
8/15/2005 8:00,53.6,0.388,1.51
8/16/2005 10:45,1.3,0.136,
8/22/2005 17:45,3.8,0.472,2.67
8/26/2005 8:00,5.8,0.277,1.773
8/29/2005 8:00,11,0.098,
8/30/2005 8:00,2.4,0.491,1.836
8/31/2005 8:00,3.4,0.23,0.479
9/1/2005 8:00,9,0.171,0.53
9/6/2005 11:45,7.1,0.083,1.733
9/16/2005 10:01,21.5,0.199,0.322
9/17/2005 13:30,5,0.068,0.385
9/21/2005 13:00,2,1.565,3.72
9/27/2005 9:00,13.2,0.12,0.05
9/30/2005 13:00,11,0.087,0.165
10/10/2005 8:30,134.1,0.022,0.46
10/11/2005 10:00,28.4,0.044,0.2
10/14/2005 8:30,5.3,0.073,0.952
10/17/2005 8:00,101.6,0.028,0.452
10/24/2005 8:00,29.5,0.062,0.306
10/25/2005 12:45,34.9,0.024,0.25
10/26/2005 8:00,13.2,0.024,0.532
11/7/2005 7:30,14.7,0.368,1.068
11/10/2005 8:00,25.25,0.441,1.086
11/16/2005 13:20,8.5,0.386,2.022
11/17/2005 17:00,22.6,0.102,0.284
11/22/2005 8:00,16,0.108,0.371
11/23/2005 8:00,23.8,0.069,0.387
11/28/2005 8:00,11.2,0.473,0.528
11/30/2005 8:00,5.3,0.119,0.431
12/1/2005 15:00,12.4,0.108,0.495
12/5/2005 8:00,1.4,0.273,0.901
12/12/2005 8:00,21.2,0.217,0.05
12/19/2005 8:00,45.2,0.093,0.299
12/28/2005 9:00,39.8,0.248,0.439
1/3/2006 8:00,20.6,0.172,0.482
1/6/2006 12:00,6.7,0.34,0.724
1/8/2006 14:00,0.8,1.652,2.528
1/12/2006 8:00,14.9,0.297,0.844
1/17/2006 8:00,24,0.128,0.499
1/19/2006 8:00,17.4,0.215,1.66
1/24/2006 8:00,16.3,0.054,1.605
1/26/2006 8:00,8,1.201,1.524
1/30/2006 8:00,13,0.421,1.016
2/6/2006 12:20,42.85,0.2,0.05
2/13/2006 11:45,9.8,0.16,0.349
2/21/2006 8:00,2.2,0.352,1.215
2/27/2006 8:00,10.4,0.692,0.564
3/13/2006 8:00,2.2,0.805,1.47
3/14/2006 9:45,20.1,0.531,1.326
3/15/2006 8:00,0.3,0.768,2.202
4/3/2006 8:00,2.2,0.813,2.285
4/4/2006 8:00,23.6,0.115,0.406
4/5/2006 8:00,22.5,0.122,0.659
4/6/2006 8:00,9.7,0.302,0.36
4/10/2006 8:00,3.9,0.514,1.334
4/14/2006 8:00,0.5,1.67,3.435
4/24/2006 8:00,18,0.225,0.811
4/25/2006 8:00,0.8,0.466,1.221
5/2/2006 9:00,12.8,0.026,0.05
5/3/2006 9:00,50.1,0.032,0.311
5/4/2006 14:30,4.1,0.093,0.557
5/10/2006 9:00,19.9,0.049,0.448
5/11/2006 11:00,0.3,,2.621
5/12/2006 16:00,3,0.098,0.251
5/19/2006 10:00,292.21,0.062,0.671
5/19/2006 10:00,,0.062,0.329
5/23/2006 8:00,14.1,0.166,0.909
6/2/2006 9:00,40.2,0.133,0.829
6/5/2006 8:00,52,0.097,0.778
6/8/2006 8:30,56.3,0.088,0.3
6/9/2006 8:00,10.7,0.055,0.33
6/12/2006 8:00,14.1,0.181,0.492
6/15/2006 8:00,4.1,0.373,2.587
6/21/2006 8:00,5.9,0.239,1.9
6/26/2006 8:00,21.85,0.324,1.915
6/29/2006 8:00,5.1,0.228,1.242
6/30/2006 8:00,0.7,1.116,
7/12/2006 8:00,37,0.146,0.995
7/13/2006 13:30,38.4,0.22,1.549
7/24/2006 8:00,24.5,0.423,2.159
7/31/2006 8:00,20.7,0.132,0.926
8/3/2006 8:00,1.5,0.404,4.3
8/4/2006 9:00,9.9,0.267,2.314
8/7/2006 8:30,13.2,0.105,0.932
8/8/2006 9:30,0.2,0.147,1.733
8/11/2006 8:00,0,0.277,3.851
8/15/2006 9:30,8,0.188,1.132
8/21/2006 10:00,86.8,0.035,0.386
8/25/2006 8:00,2.8,0.333,2.556
8/28/2006 15:30,13,0.138,1.281
9/5/2006 8:00,19.2,0.055,0.455
9/6/2006 8:00,0.654,0.202,2.985
9/15/2006 8:00,9.1,0.185,0.626
9/21/2006 8:00,22.8,0.268,1.649
9/25/2006 8:00,14.4,0.745,1.428
9/29/2006 8:00,0.5,0.152,
10/2/2006 8:00,15.1,0.245,0.723
10/4/2006 8:00,0,1.222,
10/6/2006 8:00,2.7,0.261,0.733
10/12/2006 8:00,78.4,0.062,0.216
10/18/2006 8:00,10.1,0.212,0.732
10/20/2006 8:00,3.3,0.836,1.336
10/23/2006 8:00,26.2,0.408,0.784
10/30/2006 8:00,60.3,0.043,0.199
11/3/2006 9:00,5.9,0.685,0.948
11/8/2006 8:00,7,0.203,0.304
11/9/2006 8:00,53,0.024,0.05
11/13/2006 8:00,10.7,0.104,0.36
11/14/2006 9:00,43.5,0.068,0.208
11/15/2006 8:00,2.4,0.096,0.621
11/17/2006 8:00,38.4,0.058,0.157
11/27/2006 8:30,8,0.066,0.36
11/30/2006 8:15,0.6,1.504,
12/4/2006 7:45,33,0.127,0.389
12/14/2006 8:00,1,0.361,0.739
12/27/2006 11:00,50.8,0.069,0.123
1/2/2007 11:15,21.9,0.188,0.309
1/8/2007 9:30,37.5,0.123,0.215
1/9/2007 10:30,9,0.043,0.838
1/16/2007 8:00,13,0.109,0.354
1/19/2007 8:00,2.9,0.108,0.478
1/23/2007 9:45,0.8,0.924,
2/5/2007 8:00,6.8,0.285,0.361
2/15/2007 8:00,31.9,0.067,0.05
3/5/2007 8:00,48.9,0.142,0.302
3/12/2007 8:00,8.4,0.59,1.192
3/16/2007 8:00,3.2,0.78,1.598
3/19/2007 8:00,41.2,0.032,0.17
3/23/2007 8:00,0.4,1.097,3.092
3/26/2007 8:00,7.1,0.333,0.678
3/28/2007 8:00,3.6,0.554,0.92
4/2/2007 8:15,7.3,0.346,0.724
4/4/2007 8:45,4.3,0.382,0.548
4/5/2007 11:00,30.1,0.083,0.152
4/14/2007 11:00,21.5,0.098,0.461
4/20/2007 8:00,123.2,0.035,0.365
4/30/2007 8:30,20.9,0.192,0.822
5/1/2007 8:00,8,0.221,1.103
5/2/2007 8:00,1.6,0.701,1.056
5/14/2007 9:00,21.1,0.177,0.695
5/15/2007 14:00,1.1,0.96,5.156
5/17/2007 8:00,28.1,0.397,1.996
5/21/2007 9:00,36.9,0.082,0.384
5/29/2007 8:00,7.7,0.715,4.045
6/1/2007 9:00,5.4,0.525,2.358
6/4/2007 8:40,8.6,0.357,1.459
6/6/2007 8:30,67.6,0.121,1.004
6/11/2007 8:30,0.9,1.074,6.023
6/14/2007 8:00,0.5,0.279,
6/22/2007 8:30,0.2,0.289,
7/5/2007 8:30,10.9,0.121,1.067
7/6/2007 9:00,0.6,0.318,4.998
7/9/2007 8:00,2.6,0.253,3.477
7/10/2007 8:00,27.1,0.35,1.959
7/12/2007 8:00,3.6,0.159,1.452
7/16/2007 9:00,12.9,0.338,3.059
7/19/2007 8:00,2.3,0.779,4.082
7/20/2007 9:00,28.2,0.326,1.663
7/27/2007 8:00,2.9,0.138,1.507
7/30/2007 19:00,16,0.198,1.981
8/7/2007 9:00,13.9,0.168,1.47
8/8/2007 16:45,7.3,0.559,3.497
8/10/2007 16:30,2,0.149,1.724
8/16/2007 16:00,5.8,0.17,3.261
8/17/2007 15:00,19.3,0.423,2.85
8/17/2007 15:00,19.3,0.414,2.809
9/10/2007 13:15,11.5,0.327,2.166
9/10/2007 13:15,11.5,0.37,
9/10/2007 13:15,,0.328,2.204
9/10/2007 13:15,,0.371,
9/11/2007 11:00,10.8,0.334,1.576
9/11/2007 11:00,10.8,0.362,1.69
9/12/2007 12:00,31.5,0.068,0.35
9/12/2007 12:00,31.5,0.062,0.336
9/17/2007 12:00,6,0.172,0.889
9/17/2007 12:00,6,0.193,0.879
9/28/2007 8:00,16.1,0.03,0.161
9/28/2007 8:00,16.1,0.034,0.349
10/8/2007 10:45,32.4,0.265,1.415
10/8/2007 10:45,32.4,0.278,1.521
10/10/2007 11:00,5.1,0.235,1.12
10/10/2007 11:00,5.1,0.296,0.857
10/11/2007 11:00,0,0.586,1.936
10/12/2007 11:00,25.1,0.119,0.408
10/12/2007 11:00,25.1,0.126,
10/15/2007 10:00,8.3,0.337,0.422
10/15/2007 10:00,8.3,0.339,0.698
10/22/2007 14:00,27.9,0.041,0.24
10/22/2007 14:00,27.9,0.051,0.216
10/24/2007 8:00,0.6,0.969,2.15
10/24/2007 8:00,0.6,0.925,2.234
10/25/2007 14:00,0.8,,2.723
10/25/2007 14:00,0.8,0.277,1.772
10/29/2007 8:00,15.5,0.079,0.44
10/29/2007 8:00,15.5,0.095,0.488
11/5/2007 8:00,30.1,0.009,0.316
11/5/2007 8:00,30.1,,0.187
11/7/2007 8:00,18.7,0.43,0.796
11/7/2007 8:00,18.7,0.486,0.776
11/13/2007 9:00,2.2,0.91,1.442
11/13/2007 9:00,2.2,1.183,0.686
11/15/2007 12:30,2.1,0.482,2.174
11/15/2007 12:30,2.1,0.554,1.948
11/16/2007 7:45,17.9,0.188,0.543
11/16/2007 7:45,17.9,0.204,0.755
11/16/2007 16:00,0.6,,1.008
11/16/2007 16:00,0.6,0.112,0.402
11/21/2007 10:30,4.7,0.187,0.486
11/21/2007 10:30,4.7,0.314,1.17
11/26/2007 8:00,3.4,0.212,0.725
11/26/2007 8:00,3.4,0.305,0.906
11/27/2007 8:00,16.272,0.216,0.453
11/27/2007 8:00,16.272,0.225,0.594
12/3/2007 8:00,15.1,0.209,0.125
12/4/2007 8:00,6.1,0.075,0.347
12/10/2007 10:00,3.6,0.418,0.646
12/10/2007 10:00,3.6,0.556,0.688
12/11/2007 10:00,0.4,0.341,
12/12/2007 8:00,0.6,0.0025,1.758
12/12/2007 8:00,0.6,1.098,1.388
12/14/2007 8:00,13.2,0.091,0.259
12/14/2007 8:00,13.2,0.112,0.254
12/18/2007 9:00,34,0.067,0.567
12/18/2007 9:00,34,0.076,0.22
12/21/2007 8:00,11.4,0.173,0.24
12/21/2007 8:00,11.4,0.334,0.359
12/26/2007 13:45,8.6,0.056,0.305
12/26/2007 13:45,8.6,0.073,0.629
1/2/2008 13:50,51.5,0.282,0.653
1/2/2008 13:50,51.5,0.256,0.507
1/10/2008 8:30,0.6,0.453,1.794
1/10/2008 8:30,0.6,0.423,1.791
1/11/2008 8:00,5.9,0.268,0.385
1/11/2008 8:00,5.9,0.242,0.398
1/11/2008 17:00,24.1,0.175,0.426
1/11/2008 17:00,24.1,0.223,0.338
1/15/2008 14:00,14.4,0.101,0.173
1/15/2008 14:00,14.4,0.062,0.378
1/18/2008 8:15,11.5,0.053,0.165
1/18/2008 8:15,11.5,0.065,0.203
1/22/2008 8:00,4.8,0.016,0.315
1/22/2008 8:00,4.8,0.025,0.422
1/28/2008 8:00,10.8,0.143,0.56
1/28/2008 8:00,10.8,0.209,0.56
1/30/2008 8:00,1.3,1.08,1.221
1/30/2008 8:00,1.3,1.091,1.67
1/31/2008 8:00,0.7,0.343,1.719
1/31/2008 8:00,0.7,0.545,2.027
2/4/2008 17:00,29,0.043,0.493
2/4/2008 17:00,29,0.076,0.363
2/5/2008 17:00,19.1,0.416,0.737
2/5/2008 17:00,19.1,0.414,0.858
2/6/2008 13:00,13.9,0.198,0.569
2/6/2008 13:00,13.9,0.219,0.588
2/7/2008 8:00,21.5,0.088,0.327
2/7/2008 8:00,21.5,0.141,0.398
2/8/2008 8:00,2.6,0.298,0.539
2/8/2008 8:00,2.6,0.357,0.913
2/11/2008 8:00,9.2,1.029,0.914
2/11/2008 8:00,9.2,1.168,1.017
2/14/2008 8:00,69.6,0.071,0.24
2/14/2008 8:00,69.6,0.225,0.243
2/18/2008 8:10,7.1,0.335,0.637
2/18/2008 8:10,7.1,0.543,0.494
2/19/2008 8:00,5.1,0.122,0.635
2/19/2008 8:00,5.1,0.241,0.76
2/26/2008 8:00,10.5,0.109,0.429
2/26/2008 8:00,10.5,0.303,0.371
2/27/2008 9:00,22.8,0.774,0.682
2/27/2008 9:00,22.8,0.414,0.613
2/28/2008 8:00,4.8,0.57,0.62
2/28/2008 8:00,4.8,0.516,0.669
3/3/2008 8:00,14.2,0.644,0.472
3/3/2008 8:00,14.2,0.388,0.578
3/11/2008 11:00,68.6,,1.711
3/11/2008 11:00,68.6,0.032,0.589
3/14/2008 17:00,6.3,1.587,1.299
3/14/2008 17:00,6.3,1.671,1.204
3/17/2008 8:00,17.6,0.796,1.201
3/17/2008 8:00,17.6,0.944,1.336
3/20/2008 8:00,28.8,0.124,0.507
3/20/2008 8:00,28.8,0.114,0.41
3/28/2008 8:00,13,0.372,0.435
3/28/2008 8:00,13,0.404,0.479
3/29/2008 13:00,12.8,0.095,0.408
3/29/2008 13:00,12.8,0.174,0.516
4/1/2008 8:15,6.8,0.562,0.969
4/1/2008 8:15,6.8,0.617,1.016
4/2/2008 8:00,4.1,0.486,0.835
4/2/2008 8:00,4.1,0.522,0.741
4/4/2008 8:00,1.4,0.107,0.681
4/4/2008 8:00,1.4,0.147,1.141
4/4/2008 17:00,12.4,0.051,0.59
4/4/2008 17:00,12.4,0.0025,0.356
4/7/2008 8:00,5.9,0.332,0.615
4/7/2008 8:00,5.9,0.398,0.571
4/14/2008 8:00,6.7,0.552,1.328
4/14/2008 8:00,6.7,0.608,1.214
4/28/2008 8:00,0.6,1.067,7.181
4/28/2008 8:00,0.6,1.151,3.952
4/29/2008 10:00,52.3,0.092,0.326
4/29/2008 10:00,52.3,0.085,0.207
4/30/2008 8:00,11.5,0.094,0.894
4/30/2008 8:00,11.5,0.093,0.329
5/5/2008 8:00,17.9,0.102,0.624
5/5/2008 8:00,17.9,0.17,0.692
5/8/2008 8:00,0.8,1.089,5.518
5/8/2008 8:00,0.8,1.469,7.043
5/19/2008 8:00,2.7,0.364,6.766
5/19/2008 8:00,2.7,0.433,6.336
5/22/2008 8:00,0.9,0.986,5.118
5/22/2008 8:00,0.9,1.246,3.952
5/27/2008 8:00,0.5,0.302,7.015
5/27/2008 8:00,0.5,0.15,9.762
6/2/2008 13:00,0.9,0.853,6.827
6/2/2008 13:00,0.9,0.899,4.535
6/4/2008 8:25,0,,7.9
6/4/2008 8:25,0,1.316,5.129
6/5/2008 8:00,10.1,0.125,0.944
6/5/2008 8:00,10.1,0.127,0.927
6/9/2008 8:00,12.1,0.2,1.667
6/9/2008 8:00,12.1,0.229,1.047
6/11/2008 8:00,3.6,0.836,3.117
6/11/2008 8:00,3.6,0.776,2.639
6/16/2008 8:30,20.1,0.298,2.093
6/16/2008 8:30,20.1,0.328,2.06
6/17/2008 10:00,1.8,0.628,3.071
6/18/2008 13:45,5.5,0.263,1.872
6/18/2008 13:45,7.3,0.354,1.687
6/24/2008 8:00,31.8,,1.436
6/24/2008 8:00,31.8,,1.229
6/25/2008 10:30,1.8,0.37,2.065
6/25/2008 10:30,1.8,0.392,2.03
6/27/2008 8:30,1.4,0.06,0.559
6/27/2008 8:30,1.4,0.276,1.48
6/30/2008 8:30,7,0.487,2.594
6/30/2008 8:30,7,0.558,2.275
7/7/2008 8:00,3.3,0.392,2.265
7/7/2008 8:00,3.3,0.445,1.721
7/15/2008 9:30,2.9,0.305,3.455
7/15/2008 9:30,2.9,0.233,5.226
7/22/2008 8:00,73.9,0.255,1.93
7/22/2008 8:00,73.9,0.298,1.858
7/28/2008 8:00,127.3,0.153,0.51
7/28/2008 8:00,127.3,0.16,0.389
8/1/2008 8:00,27,0.318,2.552
8/1/2008 8:00,27,0.323,2.669
8/4/2008 8:00,34,0.259,1.104
8/4/2008 8:00,34,0.264,1.049
8/7/2008 8:00,25.5,0.156,0.858
8/7/2008 8:00,25.5,0.165,1.05
8/8/2008 8:00,11.6,0.268,0.886
8/8/2008 8:00,11.6,0.296,1.017
8/12/2008 8:20,23.9,0.171,0.353
8/12/2008 8:20,23.9,0.184,0.949
8/14/2008 8:00,2,0.08,1.918
8/14/2008 8:00,2,0.109,0.746
8/18/2008 8:00,0.3,,16.223
8/18/2008 8:00,0.3,1.116,8.334
8/19/2008 9:00,0.6,0.351,2.338
8/19/2008 9:00,0.6,0.367,2.428
8/20/2008 12:25,1.4,0.25,1.923
8/20/2008 12:25,1.4,0.072,0.647
8/26/2008 10:00,0.4,0.432,8.262
8/26/2008 10:00,0.4,0.502,5.003
9/8/2008 7:30,127.3,0.038,0.122
9/8/2008 7:30,127.3,0.036,0.05
9/10/2008 7:45,9,0.236,1.08
9/10/2008 7:45,9,0.258,0.912
9/15/2008 8:30,13.4,0.183,0.977
9/15/2008 8:30,13.4,0.22,0.609
9/23/2008 10:25,3.9,0.174,1.237
9/23/2008 10:25,3.9,0.446,2.435
9/29/2008 8:00,91.9,0.038,0.05
9/29/2008 8:00,91.9,0.045,0.383
10/2/2008 10:40,16.2,0.385,1.356
10/2/2008 10:40,16.2,0.437,1.419
10/6/2008 8:10,0.2,0.505,2.779
10/6/2008 8:25,0.2,0.478,3.725
10/9/2008 8:10,6,0.227,0.493
10/9/2008 8:25,6,0.214,0.455
10/17/2008 9:20,7.5,0.613,1.681
10/17/2008 9:40,7.5,0.614,1.366
10/22/2008 13:00,6.3,0.946,1.257
10/22/2008 13:00,6.3,0.929,1.076
10/27/2008 10:20,36.4,0.038,0.05
10/27/2008 10:30,36.4,0.04,0.177
10/29/2008 8:30,10,0.157,0.489
10/29/2008 8:40,10,0.159,0.448
11/7/2008 9:10,2.1,0.189,1.253
11/7/2008 9:25,2.1,0.187,1.124
11/13/2008 7:35,2.6,0.301,0.984
11/13/2008 7:45,2.6,0.292,0.595
11/17/2008 8:10,29.8,0.256,0.434
11/17/2008 8:25,29.8,0.252,0.448
12/1/2008 9:30,85.4,0.212,0.166
12/2/2008 9:45,0.2,0.603,
12/2/2008 9:30,85.6,0.203,0.727
12/11/2008 8:50,21.6,0.149,0.467
12/11/2008 9:10,21.6,0.149,0.689
12/15/2008 11:30,62.5,0.033,0.416
12/15/2008 11:40,62.5,0.032,0.48
12/23/2008 10:40,67,0.147,0.322
12/23/2008 10:55,67,0.255,0.681
12/30/2008 11:30,12.2,0.24,0.599
12/30/2008 11:45,12.2,0.255,0.834
1/6/2009 10:45,10.2,0.197,0.424
1/6/2009 11:00,10.2,0.252,0.64
1/13/2009 10:40,40.7,0.193,0.363
1/13/2009 10:45,40.7,0.191,0.349
1/20/2009 12:35,20.1,0.298,0.403
1/20/2009 12:45,20.1,0.319,0.35
2/3/2009 9:10,30.3,0.068,0.21
2/3/2009 9:20,30.3,0.084,0.249
2/10/2009 10:10,3.6,0.431,1.035
2/10/2009 10:20,3.6,0.469,1.43
2/17/2009 9:25,7.5,0.301,2.108
2/17/2009 9:30,7.5,0.289,2.136
2/24/2009 8:45,64.1,,0.192
2/24/2009 9:00,64.1,0.108,0.118
3/3/2009 9:40,28.9,0.064,0.163
3/3/2009 9:50,28.9,0.123,0.49
3/10/2009 9:10,19.2,0.615,1.487
3/10/2009 9:20,19.2,0.678,1.899
3/17/2009 11:25,11,0.53,1.634
3/17/2009 11:40,11,0.519,1.392
3/31/2009 9:50,30.5,0.127,0.268
3/31/2009 10:00,30.5,0.157,0.664
,,0.097,
4/14/2009 10:00,4.7,0.507,1.321
4/14/2009 10:10,4.7,0.497,1.36
4/21/2009 9:05,20.9,0.056,0.357
4/21/2009 9:15,20.9,0.05,0.246
4/28/2009 11:30,17.4,0.343,0.84
4/28/2009 11:50,17.4,0.326,0.938
5/5/2009 12:40,4.5,0.419,1.388
5/5/2009 12:50,4.5,0.423,1.349
5/12/2009 10:10,50.2,0.123,0.403
5/12/2009 10:15,50.2,0.096,0.47
5/19/2009 13:58,10.3,0.237,0.594
5/19/2009 13:47,10.3,0.241,0.747
4/7/2009 9:40,56.9,0.068,0.148
4/7/2009 9:50,56.9,0.068,0.17
6/1/2009 13:00,40,0.236,0.931
6/1/2009 12:50,40,0.237,1.056
6/9/2009 10:10,2,0.684,3.844
6/12/2009 10:48,38.4,0.109,0.529
6/15/2009 13:20,27.3,0.115,1.365
6/19/2009 13:06,34.6,0.052,0.244
6/22/2009 13:30,7.7,0.086,1.098
6/24/2009 14:10,18.9,0.058,0.467
6/29/2009 11:50,8.7,0.154,0.882
6/30/2009 8:55,8.7,0.105,1.511
7/2/2009 11:55,20.7,,0.849
7/3/2009 11:26,9.6,0.139,0.995
7/6/2009 13:30,11.7,0.278,2.183
7/9/2009 13:50,16.5,,1.736
7/14/2009 11:50,2.2,0.389,1.323
7/21/2009 10:00,18.1,0.161,1.651
7/22/2009 14:15,8.3,0.127,0.933
7/24/2009 12:00,59,0.011,0.484
7/28/2009 12:10,7.5,0.381,2.114
8/3/2009 13:15,50.6,0.125,1.103
8/11/2009 12:05,14.7,0.094,1.485
8/13/2009 9:15,2.4,0.212,2.515
8/25/2009 10:45,28.7,0.26,0.99
8/31/2009 12:00,50.7,0.051,0.675
9/15/2009 13:45,23.4,0.071,0.613
9/29/2009 14:05,30.5,0.212,0.943
10/6/2009 15:18,19.5,0.469,0.823
10/13/2009 16:18,31.8,0.419,0.768
10/20/2009 14:18,12.9,0.136,0.559
10/27/2009 16:18,27.5,0.205,0.722
11/3/2009 14:00,21.5,0.116,0.798
11/24/2009 12:00,13.4,0.062,0.844
12/1/2009 13:10,28.2,0.062,0.431
12/14/2009 11:00,96.5,0.126,0.565
12/29/2009 13:15,31.9,0.091,0.456
1/20/2010 13:00,33.9,0.269,0.661
1/26/2010 12:10,26.1,0.089,0.583
2/23/2010 10:10,18.4,0.093,0.599
3/2/2010 12:15,174.4,0.079,0.46
3/19/2010 11:00,176.9,0.037,0.351
3/23/2010 9:30,47.2,0.039,0.326
3/30/2010 12:45,75.7,0.077,0.455
4/6/2010 11:00,75.7,0.014,0.38
4/13/2010 16:20,13.5,0.246,1.263
4/20/2010 9:45,33.7,0.286,1.057
5/11/2010 11:00,16.2,0.304,1.125
5/25/2010 10:10,56.9,0.021,0.573
6/1/2010 10:00,0.9,0.432,5.068
6/8/2010 9:40,57.8,0.37,1.676
6/15/2010 10:15,19.7,0.192,0.955
6/29/2010 13:30,11,0.805,3.253
7/13/2010 11:30,26.8,0.189,1.944
7/27/2010 9:20,18.4,0.124,1.046
8/24/2010 10:55,5.8,0.465,2.169
8/31/2010 9:15,87.1,0.02,0.526
9/14/2010 9:50,8.5,0.32,1.387
9/21/2010 8:50,15.6,0.377,1.339
9/28/2010 10:10,3.8,0.326,1.66
10/12/2010 8:45,21.6,0.075,0.925
10/20/2010 16:00,58.5,0.035,0.438
10/26/2010 11:45,2.4,1.009,2.465
11/9/2010 10:50,65.5,0.041,0.359
11/16/2010 10:15,2.6,0.138,1.387
11/23/2010 10:30,35.9,0.075,0.331
11/30/2010 11:20,9.4,0.205,0.879
12/7/2010 10:35,19.9,0.127,0.604
12/14/2010 10:20,57.2,0.093,0.398
